motion,class,pelvis_bin,swing_bin,support,split,pelvis,swing
right_549,P0S1,0,1,R,train,0.4821,0.3763
right_1612,P0S1,0,1,R,train,0.4987,0.317
right_951,P0S1,0,1,R,train,0.5021,0.462
right_8300,P0S1,0,1,R,train,0.4389,0.3748
right_688,P0S1,0,1,R,train,0.4654,0.4623
right_8302,P0S1,0,1,R,train,0.4774,0.4016
right_8304,P0S1,0,1,R,train,0.4798,0.4472
right_2570,P0S1,0,1,R,train,0.4331,0.4059
right_701,P0S1,0,1,R,train,0.4812,0.382
right_892,P0S1,0,1,R,train,0.4835,0.435
right_6242,P0S1,0,1,R,train,0.4995,0.3266
right_9344,P0S1,0,1,R,train,0.4946,0.2926
right_4747,P0S1,0,1,R,train,0.4561,0.4428
right_5301,P0S1,0,1,R,train,0.47,0.4407
right_1654,P0S1,0,1,R,train,0.5006,0.4034
right_4477,P0S1,0,1,R,train,0.5041,0.3089
right_8523,P0S1,0,1,R,train,0.4861,0.4364
right_443,P0S1,0,1,R,train,0.4519,0.4051
right_7558,P0S1,0,1,R,train,0.4621,0.4739
right_8180,P0S1,0,1,R,train,0.5018,0.3545
right_3846,P0S1,0,1,R,train,0.4601,0.3251
right_5361,P0S1,0,1,R,train,0.4608,0.4729
right_8209,P0S1,0,1,R,train,0.4471,0.3827
right_7212,P0S1,0,1,R,train,0.4823,0.4377
right_6276,P0S1,0,1,R,train,0.5082,0.3018
right_1864,P0S1,0,1,R,train,0.4538,0.3369
right_6532,P0S1,0,1,R,train,0.4431,0.3416
right_2681,P0S1,0,1,R,train,0.4654,0.353
right_9409,P0S1,0,1,R,train,0.4559,0.3907
right_9209,P0S1,0,1,R,train,0.5033,0.3429
right_2783,P0S1,0,1,R,train,0.4928,0.4663
right_7530,P0S1,0,1,R,train,0.4182,0.4356
right_5532,P0S1,0,1,R,train,0.4926,0.4351
right_9474,P0S1,0,1,R,train,0.4876,0.3428
right_567,P0S1,0,1,R,train,0.4901,0.4073
right_8342,P0S1,0,1,R,test,0.4286,0.4084
right_6360,P0S1,0,1,R,val,0.4833,0.3252
right_7688,P0S1,0,1,R,val,0.4424,0.4536
right_7319,P0S1,0,1,R,test,0.4509,0.3289
right_7333,P0S1,0,1,R,test,0.503,0.3379
right_7611,P0S1,0,1,R,val,0.4249,0.4125
right_3417,P0S1,0,1,R,val,0.4588,0.3125
right_5457,P0S1,0,1,R,val,0.5104,0.4202
right_4685,P0S1,0,1,R,test,0.5081,0.3548
right_682,P0S1,0,1,R,test,0.4955,0.4533
left_1312,P0S2,0,2,L,train,0.5076,0.593
left_7754,P0S2,0,2,L,train,0.45,0.5721
left_2043,P0S2,0,2,L,train,0.4972,0.5218
left_1229,P0S2,0,2,L,train,0.4617,0.5988
left_2248,P0S2,0,2,L,train,0.4764,0.6164
left_8145,P0S2,0,2,L,train,0.454,0.5523
left_4916,P0S2,0,2,L,train,0.4313,0.6007
left_2252,P0S2,0,2,L,train,0.4603,0.5581
left_1199,P0S2,0,2,L,train,0.4463,0.5081
left_49,P0S2,0,2,L,train,0.4854,0.5956
left_5103,P0S2,0,2,L,train,0.4898,0.4912
left_9695,P0S2,0,2,L,train,0.4993,0.5674
left_5058,P0S2,0,2,L,train,0.4477,0.5308
left_5247,P0S2,0,2,L,train,0.4725,0.5901
left_7151,P0S2,0,2,L,train,0.4676,0.4899
left_8081,P0S2,0,2,L,train,0.4808,0.5428
left_7883,P0S2,0,2,L,train,0.4987,0.4955
left_7965,P0S2,0,2,L,train,0.4545,0.5568
left_7771,P0S2,0,2,L,train,0.443,0.496
left_5019,P0S2,0,2,L,train,0.4816,0.51
left_318,P0S2,0,2,L,train,0.4846,0.5974
left_7164,P0S2,0,2,L,train,0.4418,0.4973
left_1109,P0S2,0,2,L,train,0.5082,0.5561
left_2927,P0S2,0,2,L,train,0.4981,0.4827
left_268,P0S2,0,2,L,train,0.4919,0.4812
left_6838,P0S2,0,2,L,train,0.5044,0.5852
left_2235,P0S2,0,2,L,train,0.4574,0.5502
left_6156,P0S2,0,2,L,train,0.5028,0.531
left_7034,P0S2,0,2,L,train,0.4663,0.5495
left_3198,P0S2,0,2,L,train,0.483,0.6084
left_4214,P0S2,0,2,L,train,0.5018,0.5726
left_6980,P0S2,0,2,L,train,0.5094,0.5982
left_9696,P0S2,0,2,L,train,0.4605,0.5008
left_8697,P0S2,0,2,L,train,0.4914,0.5825
left_5936,P0S2,0,2,L,train,0.4953,0.5795
left_5190,P0S2,0,2,L,train,0.4499,0.4816
left_4280,P0S2,0,2,L,train,0.5076,0.5918
left_2906,P0S2,0,2,L,train,0.476,0.5805
left_5054,P0S2,0,2,L,train,0.5039,0.6071
left_6863,P0S2,0,2,L,train,0.4397,0.5674
left_2072,P0S2,0,2,L,val,0.4746,0.5756
left_7104,P0S2,0,2,L,val,0.4972,0.5147
left_4876,P0S2,0,2,L,test,0.472,0.5286
left_6832,P0S2,0,2,L,test,0.4828,0.499
left_5170,P0S2,0,2,L,val,0.4821,0.5118
left_6800,P0S2,0,2,L,test,0.4569,0.4957
left_985,P0S2,0,2,L,val,0.455,0.5846
left_7865,P0S2,0,2,L,val,0.4897,0.591
left_8969,P0S2,0,2,L,test,0.4793,0.5624
left_5095,P0S2,0,2,L,test,0.445,0.5717
right_9427,P0S2,0,2,R,train,0.4616,0.5125
right_2521,P0S2,0,2,R,train,0.456,0.5794
right_9629,P0S2,0,2,R,train,0.4986,0.4913
right_4572,P0S2,0,2,R,train,0.4989,0.5649
right_1711,P0S2,0,2,R,train,0.4696,0.5923
right_6444,P0S2,0,2,R,train,0.4642,0.573
right_6559,P0S2,0,2,R,train,0.4948,0.5578
right_2404,P0S2,0,2,R,train,0.4718,0.5178
right_4343,P0S2,0,2,R,train,0.435,0.4924
right_8235,P0S2,0,2,R,train,0.4552,0.5247
right_7725,P0S2,0,2,R,train,0.5107,0.4855
right_4514,P0S2,0,2,R,train,0.4502,0.5538
right_2479,P0S2,0,2,R,train,0.4583,0.4808
right_7267,P0S2,0,2,R,train,0.45,0.5258
right_9619,P0S2,0,2,R,train,0.4907,0.5528
right_7409,P0S2,0,2,R,train,0.4889,0.5489
right_6565,P0S2,0,2,R,train,0.4931,0.548
right_6460,P0S2,0,2,R,train,0.4692,0.5583
right_1789,P0S2,0,2,R,train,0.5058,0.5835
right_2670,P0S2,0,2,R,train,0.4569,0.5817
right_4384,P0S2,0,2,R,train,0.4947,0.4858
right_8203,P0S2,0,2,R,train,0.4905,0.5672
right_1632,P0S2,0,2,R,train,0.4764,0.6489
right_4622,P0S2,0,2,R,train,0.478,0.5704
right_1493,P0S2,0,2,R,train,0.4894,0.5299
right_9597,P0S2,0,2,R,train,0.4447,0.5523
right_3636,P0S2,0,2,R,train,0.5047,0.5997
right_8571,P0S2,0,2,R,train,0.4361,0.533
right_8282,P0S2,0,2,R,train,0.4971,0.591
right_7511,P0S2,0,2,R,train,0.4705,0.5259
right_1900,P0S2,0,2,R,train,0.5057,0.5747
right_2639,P0S2,0,2,R,train,0.5107,0.5348
right_1890,P0S2,0,2,R,train,0.4893,0.5586
right_4489,P0S2,0,2,R,train,0.4674,0.5859
right_8359,P0S2,0,2,R,train,0.4895,0.5928
right_7496,P0S2,0,2,R,train,0.497,0.5262
right_7715,P0S2,0,2,R,train,0.4796,0.6294
right_921,P0S2,0,2,R,train,0.4348,0.535
right_5415,P0S2,0,2,R,train,0.472,0.558
right_4603,P0S2,0,2,R,train,0.5084,0.572
right_9405,P0S2,0,2,R,test,0.5061,0.5483
right_5729,P0S2,0,2,R,val,0.5002,0.6062
right_5276,P0S2,0,2,R,test,0.4632,0.5923
right_3505,P0S2,0,2,R,val,0.4712,0.579
right_5493,P0S2,0,2,R,test,0.511,0.5513
right_5641,P0S2,0,2,R,test,0.4743,0.5643
right_2563,P0S2,0,2,R,test,0.4859,0.5866
right_1817,P0S2,0,2,R,val,0.4791,0.5693
right_3435,P0S2,0,2,R,val,0.4897,0.6493
right_9400,P0S2,0,2,R,val,0.4321,0.5931
left_4133,P1S0,1,0,L,train,0.6043,0.2162
left_1354,P1S0,1,0,L,train,0.5589,0.2255
left_1063,P1S0,1,0,L,train,0.626,0.1244
left_8150,P1S0,1,0,L,train,0.5343,0.2275
left_6101,P1S0,1,0,L,train,0.6305,0.1203
left_8857,P1S0,1,0,L,train,0.5449,0.246
left_4958,P1S0,1,0,L,train,0.5612,0.1751
left_258,P1S0,1,0,L,train,0.5395,0.2593
left_2237,P1S0,1,0,L,train,0.5928,0.2805
left_3158,P1S0,1,0,L,train,0.5137,0.1485
left_1323,P1S0,1,0,L,train,0.5529,0.1279
left_1012,P1S0,1,0,L,train,0.5739,0.1903
left_1261,P1S0,1,0,L,train,0.5663,0.2586
left_4902,P1S0,1,0,L,train,0.6113,0.203
left_33,P1S0,1,0,L,train,0.5157,0.2635
left_8119,P1S0,1,0,L,train,0.6434,0.2204
left_5886,P1S0,1,0,L,train,0.5801,0.154
left_6978,P1S0,1,0,L,train,0.6294,0.1665
left_8731,P1S0,1,0,L,train,0.5542,0.2255
left_5899,P1S0,1,0,L,train,0.5544,0.2807
left_7908,P1S0,1,0,L,train,0.5517,0.1791
left_3110,P1S0,1,0,L,train,0.6419,0.1286
left_8914,P1S0,1,0,L,train,0.5925,0.2801
left_6003,P1S0,1,0,L,train,0.5768,0.133
left_2948,P1S0,1,0,L,train,0.5915,0.1315
left_5254,P1S0,1,0,L,train,0.6444,0.1264
left_2108,P1S0,1,0,L,train,0.606,0.1878
left_8098,P1S0,1,0,L,train,0.5788,0.2445
left_5180,P1S0,1,0,L,train,0.627,0.2308
left_9986,P1S0,1,0,L,train,0.5931,0.2753
left_5872,P1S0,1,0,L,train,0.6121,0.1114
left_9070,P1S0,1,0,L,train,0.5935,0.2589
left_4120,P1S0,1,0,L,train,0.6334,0.1595
left_3064,P1S0,1,0,L,train,0.6099,0.2051
left_7122,P1S0,1,0,L,train,0.555,0.1267
left_1091,P1S0,1,0,L,train,0.5699,0.1353
left_3164,P1S0,1,0,L,train,0.5621,0.108
left_6935,P1S0,1,0,L,train,0.6423,0.1403
left_8039,P1S0,1,0,L,train,0.6118,0.2396
left_2183,P1S0,1,0,L,train,0.6399,0.1737
left_7193,P1S0,1,0,L,val,0.5642,0.2332
left_3922,P1S0,1,0,L,val,0.6271,0.2343
left_1224,P1S0,1,0,L,test,0.5789,0.2703
left_3328,P1S0,1,0,L,test,0.6074,0.2616
left_7018,P1S0,1,0,L,val,0.5281,0.2551
left_9677,P1S0,1,0,L,val,0.5397,0.2761
left_3040,P1S0,1,0,L,test,0.5214,0.2161
left_3061,P1S0,1,0,L,test,0.5474,0.1844
left_5145,P1S0,1,0,L,val,0.5481,0.1572
left_6181,P1S0,1,0,L,test,0.5618,0.1745
right_1427,P1S0,1,0,R,train,0.6273,0.1659
right_3370,P1S0,1,0,R,train,0.6301,0.1655
right_4644,P1S0,1,0,R,train,0.5507,0.1522
right_8165,P1S0,1,0,R,train,0.5468,0.27
right_5571,P1S0,1,0,R,train,0.5222,0.2486
right_9224,P1S0,1,0,R,train,0.6035,0.2689
right_784,P1S0,1,0,R,train,0.5613,0.2209
right_7242,P1S0,1,0,R,train,0.6078,0.1453
right_8617,P1S0,1,0,R,train,0.5305,0.1697
right_5621,P1S0,1,0,R,train,0.6296,0.2443
right_6646,P1S0,1,0,R,train,0.6275,0.1926
right_1841,P1S0,1,0,R,train,0.5477,0.1267
right_840,P1S0,1,0,R,train,0.5278,0.2093
right_7405,P1S0,1,0,R,train,0.5265,0.271
right_1928,P1S0,1,0,R,train,0.5993,0.1547
right_8637,P1S0,1,0,R,train,0.5406,0.1538
right_5572,P1S0,1,0,R,train,0.5636,0.2376
right_6668,P1S0,1,0,R,train,0.5831,0.2103
right_1562,P1S0,1,0,R,train,0.5991,0.2049
right_3796,P1S0,1,0,R,train,0.6163,0.2368
right_7598,P1S0,1,0,R,train,0.6221,0.2754
right_780,P1S0,1,0,R,train,0.554,0.2098
right_8530,P1S0,1,0,R,train,0.6252,0.1571
right_4510,P1S0,1,0,R,train,0.5809,0.2477
right_3495,P1S0,1,0,R,train,0.5443,0.211
right_9160,P1S0,1,0,R,train,0.6431,0.1564
right_7637,P1S0,1,0,R,train,0.5919,0.2238
right_9149,P1S0,1,0,R,train,0.5269,0.1587
right_9387,P1S0,1,0,R,train,0.5164,0.2345
right_4667,P1S0,1,0,R,train,0.516,0.135
right_9441,P1S0,1,0,R,train,0.5906,0.1176
right_1897,P1S0,1,0,R,train,0.5882,0.1923
right_3792,P1S0,1,0,R,train,0.5694,0.2037
right_3773,P1S0,1,0,R,train,0.5901,0.1129
right_9179,P1S0,1,0,R,train,0.6398,0.2725
right_3719,P1S0,1,0,R,train,0.554,0.1982
right_2671,P1S0,1,0,R,train,0.6311,0.1087
right_2840,P1S0,1,0,R,train,0.6435,0.1476
right_6384,P1S0,1,0,R,train,0.6031,0.1784
right_1582,P1S0,1,0,R,train,0.5492,0.2527
right_9456,P1S0,1,0,R,val,0.5368,0.1751
right_5608,P1S0,1,0,R,test,0.5362,0.1398
right_5579,P1S0,1,0,R,test,0.6221,0.2388
right_9407,P1S0,1,0,R,val,0.6161,0.1484
right_4634,P1S0,1,0,R,test,0.5855,0.1246
right_5697,P1S0,1,0,R,val,0.6079,0.1534
right_6262,P1S0,1,0,R,test,0.5887,0.1894
right_3411,P1S0,1,0,R,val,0.5981,0.2068
right_4825,P1S0,1,0,R,val,0.5387,0.1384
right_3527,P1S0,1,0,R,test,0.5503,0.1369
left_156,P1S1,1,1,L,train,0.5333,0.3318
left_7094,P1S1,1,1,L,train,0.6241,0.3345
left_1037,P1S1,1,1,L,train,0.5466,0.4646
left_6009,P1S1,1,1,L,train,0.5884,0.356
left_2028,P1S1,1,1,L,train,0.5718,0.3723
left_1212,P1S1,1,1,L,train,0.5211,0.4591
left_4249,P1S1,1,1,L,train,0.5797,0.3351
left_3952,P1S1,1,1,L,train,0.5239,0.4449
left_3235,P1S1,1,1,L,train,0.5391,0.4695
left_1100,P1S1,1,1,L,train,0.5793,0.4769
left_178,P1S1,1,1,L,train,0.5369,0.3403
left_1119,P1S1,1,1,L,train,0.5119,0.3017
left_4226,P1S1,1,1,L,train,0.5927,0.3003
left_8085,P1S1,1,1,L,train,0.6068,0.4767
left_3077,P1S1,1,1,L,train,0.5391,0.3164
left_276,P1S1,1,1,L,train,0.6232,0.3907
left_3109,P1S1,1,1,L,train,0.5796,0.4043
left_4964,P1S1,1,1,L,train,0.5656,0.4703
left_4873,P1S1,1,1,L,train,0.6136,0.4534
left_4238,P1S1,1,1,L,train,0.5734,0.3143
left_7978,P1S1,1,1,L,train,0.5596,0.4136
left_6018,P1S1,1,1,L,train,0.6416,0.3099
left_3220,P1S1,1,1,L,train,0.5923,0.444
left_3216,P1S1,1,1,L,train,0.5849,0.3307
left_8865,P1S1,1,1,L,train,0.5303,0.3716
left_5868,P1S1,1,1,L,train,0.5781,0.4082
left_9884,P1S1,1,1,L,train,0.5266,0.3608
left_7942,P1S1,1,1,L,train,0.635,0.4762
left_4203,P1S1,1,1,L,train,0.5835,0.4304
left_7735,P1S1,1,1,L,train,0.521,0.3675
left_5880,P1S1,1,1,L,train,0.6265,0.4166
left_8010,P1S1,1,1,L,train,0.6195,0.3822
left_7814,P1S1,1,1,L,train,0.5218,0.2951
left_9101,P1S1,1,1,L,train,0.549,0.3795
left_8133,P1S1,1,1,L,train,0.6145,0.408
left_4141,P1S1,1,1,L,train,0.5875,0.3211
left_3144,P1S1,1,1,L,train,0.5625,0.4662
left_183,P1S1,1,1,L,train,0.6355,0.4745
left_3256,P1S1,1,1,L,train,0.552,0.3836
left_5817,P1S1,1,1,L,train,0.5716,0.4455
left_409,P1S1,1,1,L,test,0.6413,0.3573
left_1386,P1S1,1,1,L,test,0.6359,0.3318
left_7733,P1S1,1,1,L,val,0.5378,0.4566
left_7998,P1S1,1,1,L,val,0.5769,0.3111
left_6220,P1S1,1,1,L,val,0.5451,0.476
left_2240,P1S1,1,1,L,test,0.5743,0.3799
left_4903,P1S1,1,1,L,val,0.5893,0.4754
left_9638,P1S1,1,1,L,test,0.5771,0.4583
left_1232,P1S1,1,1,L,val,0.6322,0.4089
left_7963,P1S1,1,1,L,test,0.562,0.3792
right_1585,P1S1,1,1,R,train,0.5364,0.4185
right_8635,P1S1,1,1,R,train,0.5345,0.3329
right_2886,P1S1,1,1,R,train,0.5684,0.4011
right_6654,P1S1,1,1,R,train,0.5886,0.3047
right_6300,P1S1,1,1,R,train,0.563,0.3703
right_2883,P1S1,1,1,R,train,0.6376,0.3946
right_8267,P1S1,1,1,R,train,0.565,0.4207
right_5391,P1S1,1,1,R,train,0.5573,0.3374
right_8606,P1S1,1,1,R,train,0.6057,0.4355
right_2841,P1S1,1,1,R,train,0.5864,0.3171
right_7620,P1S1,1,1,R,train,0.5663,0.3403
right_4470,P1S1,1,1,R,train,0.569,0.3649
right_7214,P1S1,1,1,R,train,0.636,0.3172
right_5476,P1S1,1,1,R,train,0.6029,0.3736
right_4300,P1S1,1,1,R,train,0.5652,0.3334
right_7446,P1S1,1,1,R,train,0.5226,0.3842
right_1876,P1S1,1,1,R,train,0.5777,0.3704
right_7710,P1S1,1,1,R,train,0.5121,0.3372
right_9251,P1S1,1,1,R,train,0.6147,0.3529
right_1541,P1S1,1,1,R,train,0.5358,0.3703
right_6529,P1S1,1,1,R,train,0.5779,0.3667
right_852,P1S1,1,1,R,train,0.5426,0.3542
right_1663,P1S1,1,1,R,train,0.5467,0.4426
right_4321,P1S1,1,1,R,train,0.5653,0.4009
right_9485,P1S1,1,1,R,train,0.5964,0.2851
right_6341,P1S1,1,1,R,train,0.6105,0.3421
right_9347,P1S1,1,1,R,train,0.6061,0.2911
right_7716,P1S1,1,1,R,train,0.5786,0.4654
right_4550,P1S1,1,1,R,train,0.5908,0.3909
right_9591,P1S1,1,1,R,train,0.5366,0.411
right_3399,P1S1,1,1,R,train,0.6039,0.4246
right_5490,P1S1,1,1,R,train,0.5185,0.3294
right_5627,P1S1,1,1,R,train,0.5995,0.2946
right_7403,P1S1,1,1,R,train,0.6389,0.2948
right_9388,P1S1,1,1,R,train,0.6139,0.2993
right_7314,P1S1,1,1,R,train,0.6442,0.4269
right_434,P1S1,1,1,R,train,0.5416,0.444
right_483,P1S1,1,1,R,train,0.5816,0.4375
right_7336,P1S1,1,1,R,train,0.6398,0.4523
right_9631,P1S1,1,1,R,train,0.6401,0.3823
right_4412,P1S1,1,1,R,val,0.5761,0.4071
right_8511,P1S1,1,1,R,val,0.5649,0.4151
right_5274,P1S1,1,1,R,test,0.5814,0.4748
right_8226,P1S1,1,1,R,test,0.6407,0.3285
right_9312,P1S1,1,1,R,val,0.6374,0.4183
right_4334,P1S1,1,1,R,val,0.6038,0.2944
right_6745,P1S1,1,1,R,test,0.6161,0.4653
right_5680,P1S1,1,1,R,val,0.6438,0.3682
right_3687,P1S1,1,1,R,test,0.5981,0.3656
right_870,P1S1,1,1,R,test,0.5833,0.418
left_9661,P1S2,1,2,L,train,0.5476,0.4875
left_9946,P1S2,1,2,L,train,0.5874,0.6379
